data,sample,gen,gen_args,gen_str,gen_n,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities,max_k,min_k,range_k,za,max_dist
dummy,-1,static,0,static#0,0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.33166666666666655,0.08,0.5833333333333333,17,0.33166666666666655,5,5,11,28,2,5,2,0,0,0,,,,,
dummy,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#1.00,1.00,0.10333333333333332,0.04,0.16666666666666666,5,0.10333333333333332,5,5,11,15,2,2,5,0,1,0,5.0,2.0,1.0,2.0,1.0
