anonymized_degree_anonymity,range_k,enforcer_str,max_k,handler_str,za,num_anonymized_edges,info_loss_args_str,calgo,info_loss,num_removed_edges,sample,gen_str,num_fake_edges,num_raw_edges,anonymized_attribute_anonymity,min_k,num_anonymized_fake_entities,calgo_str,enforcer,alpha_dm,data,anonymized_anonymity,alpha_adm,num_anonymized_entities,max_dist,gen,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
2,,sr,,n,,28,"0.50,0.50",km,adm,0,-1,static#0,17,11,5,,0,km#max,sr,0.5,dummy,2,0.5,5,,static,0,0.33166666666666655,0.08,0.5833333333333333,0.33166666666666655,5,0
5,1.0,ms#1.00,5.0,n,2.0,15,"0.50,0.50",vac,adm,1,-1,"zipf#2,5,1,2",5,11,2,2.0,0,vac,ms,0.5,dummy,2,0.5,5,1.0,zipf,0,0.10333333333333332,0.04,0.16666666666666666,0.10333333333333332,5,0
